fice,fice_combined,year,toi_code,ffrdctype,inst_name_long,inst_city,inst_state,inst_zip,questionnaire_no,question,row,column,data,status
400885,000000,2009,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,All other sources,,3899,
400885,000000,2009,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Federal government,,1036883,
400885,000000,2009,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Industry,,15781,
400885,000000,2009,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,State and local government,,7667,
400885,000000,2009,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Total,,1064230,
401119,000000,2009,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,All other sources,,136,
401119,000000,2009,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Federal government,,14032,
401119,000000,2009,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Industry,,43,
401119,000000,2009,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,"Institution funds, total",,3,
401119,000000,2009,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,State and local government,,524,
401119,000000,2009,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Total,,14738,
401435,000000,2009,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,All other sources,,45167,
401435,000000,2009,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Federal government,,1261769,
401435,000000,2009,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Industry,,9975,
401435,000000,2009,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,State and local government,,4722,
401435,000000,2009,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Total,,1321633,
900006,000000,2009,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01,Source,Federal government,,19934,
900006,000000,2009,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01,Source,Total,,19934,
900010,000000,2009,3,1,Lincoln Laboratory,Lexington,MA,02173,01,Source,All other sources,,1482,
900010,000000,2009,3,1,Lincoln Laboratory,Lexington,MA,02173,01,Source,Federal government,,704050,
900010,000000,2009,3,1,Lincoln Laboratory,Lexington,MA,02173,01,Source,Industry,,1023,
900010,000000,2009,3,1,Lincoln Laboratory,Lexington,MA,02173,01,Source,Total,,706555,
900011,000000,2009,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Federal government,,29012,
900011,000000,2009,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Total,,29012,
900012,000000,2009,3,1,Argonne National Laboratory,Argonne,IL,60439,01,Source,All other sources,,42645,
900012,000000,2009,3,1,Argonne National Laboratory,Argonne,IL,60439,01,Source,Federal government,,498847,
