fice,fice_combined,year,toi_code,ffrdctype,inst_name_long,inst_city,inst_state,inst_zip,questionnaire_no,question,row,column,data,status
400885,000000,2007,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,All other sources,,3321,
400885,000000,2007,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Federal government,,823080,
400885,000000,2007,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Industry,,17649,
400885,000000,2007,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,State and local government,,7462,
400885,000000,2007,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Total,,851512,
401119,000000,2007,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,All other sources,,101,
401119,000000,2007,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Federal government,,13375,
401119,000000,2007,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Industry,,13,
401119,000000,2007,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,"Institution funds, total",,102,
401119,000000,2007,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Total,,13591,
401435,000000,2007,3,1,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,All other sources,,48484,
401435,000000,2007,3,1,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Federal government,,1298044,
401435,000000,2007,3,1,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Industry,,3320,
401435,000000,2007,3,1,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,State and local government,,4132,
401435,000000,2007,3,1,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Total,,1353980,
900006,000000,2007,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01,Source,Federal government,,6320,
900006,000000,2007,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01,Source,Total,,6320,
900010,000000,2007,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,All other sources,,1577,
900010,000000,2007,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,Federal government,,613858,
900010,000000,2007,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,Industry,,2457,
900010,000000,2007,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,State and local government,,119,
900010,000000,2007,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,Total,,618011,
