fice,fice_combined,year,toi_code,ffrdctype,inst_name_long,inst_city,inst_state,inst_zip,questionnaire_no,question,row,column,data,status
400885,000000,2003,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,All other sources,,25000,
400885,000000,2003,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,Federal government,,615000,
400885,000000,2003,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,Industry,,25000,
400885,000000,2003,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,State and local government,,14000,
400885,000000,2003,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,Total,,679000,
401119,000000,2003,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,All other sources,,55,
401119,000000,2003,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Federal government,,10644,
401119,000000,2003,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,"Institution funds, total",,809,
401119,000000,2003,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Total,,11508,
401435,000000,2003,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,All other sources,,18894,
401435,000000,2003,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,Federal government,,1258505,
401435,000000,2003,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,Industry,,5874,
401435,000000,2003,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,State and local government,,2942,
401435,000000,2003,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,Total,,1286215,
900010,000000,2003,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,Federal government,,516112,
900010,000000,2003,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,Industry,,5179,
900010,000000,2003,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,State and local government,,1560,
900010,000000,2003,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,Total,,522851,
900011,000000,2003,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Federal government,,25213,
