inst_id,year,ncses_inst_id,toi_code,ffrdctype,inst_name_long,inst_city,inst_state_code,inst_zip,questionnaire_no,question,row,column,data,status
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.a,Source,Federal government,,1072377,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.b,Source,State and local government,,6474,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.c,Source,Business,,12969,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.e,Source,All other sources,,4103,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.f,Source,Total,,1095923,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.a,Type of R&D,Basic research,Federal,231152,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.a,Type of R&D,Basic research,Nonfederal,5486,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.a,Type of R&D,Basic research,Total,236638,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.b,Type of R&D,Applied research,Federal,235427,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.b,Type of R&D,Applied research,Nonfederal,3249,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.b,Type of R&D,Applied research,Total,238676,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.c,Type of R&D,Development,Federal,605798,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.c,Type of R&D,Development,Nonfederal,14811,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.c,Type of R&D,Development,Total,620609,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.d,Type of R&D,All,Federal,1072377,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.d,Type of R&D,All,Nonfederal,23546,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.d,Type of R&D,All,Total,1095923,
400885,2011,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,N/A,ARRA funds,Total,,115508,
401119,2011,,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01.a,Source,Federal government,,13635,
401119,2011,,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01.e,Source,All other sources,,682,
401119,2011,,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01.f,Source,Total,,14317,
401119,2011,,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,04.a,Type of R&D,Basic research,Federal,13635,
