fice,fice_combined,year,toi_code,ffrdctype,inst_name_long,inst_city,inst_state,inst_zip,questionnaire_no,question,row,column,data,status
400885,000000,2008,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,All other sources,,3544,
400885,000000,2008,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Federal government,,859521,
400885,000000,2008,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Industry,,17541,
400885,000000,2008,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,State and local government,,5378,
400885,000000,2008,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01,Source,Total,,885984,
401119,000000,2008,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,All other sources,,55,
401119,000000,2008,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Federal government,,12418,
401119,000000,2008,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Industry,,25,
401119,000000,2008,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,"Institution funds, total",,73,
401119,000000,2008,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,State and local government,,15,
401119,000000,2008,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Total,,12586,
401435,000000,2008,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,All other sources,,41272,
401435,000000,2008,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Federal government,,1248594,
401435,000000,2008,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Industry,,7041,
401435,000000,2008,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,State and local government,,4967,
401435,000000,2008,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01,Source,Total,,1301874,
900006,000000,2008,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01,Source,Federal government,,12979,
900006,000000,2008,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01,Source,Total,,12979,
900010,000000,2008,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,All other sources,,1149,
900010,000000,2008,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,Federal government,,637879,
900010,000000,2008,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,Industry,,1960,
900010,000000,2008,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,State and local government,,398,
900010,000000,2008,3,1,Massachusetts Institute of Technology Lincoln Laboratory,Lexington,MA,02173,01,Source,Total,,641386,
900011,000000,2008,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Federal government,,27306,
900011,000000,2008,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Total,,27306,
900012,000000,2008,3,1,Argonne National Laboratory,Argonne,IL,60439,01,Source,All other sources,,44576,
900012,000000,2008,3,1,Argonne National Laboratory,Argonne,IL,60439,01,Source,Federal government,,487641,
900012,000000,2008,3,1,Argonne National Laboratory,Argonne,IL,60439,01,Source,State and local government,,1313,
900012,000000,2008,3,1,Argonne National Laboratory,Argonne,IL,60439,01,Source,Total,,533530,
900013,000000,2008,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,All other sources,,12669,
900013,000000,2008,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,Federal government,,459348,
900013,000000,2008,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,Industry,,7653,
900013,000000,2008,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,State and local government,,785,
900013,000000,2008,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,Total,,480455,
900016,000000,2008,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01,Source,All other sources,,34612,
900016,000000,2008,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01,Source,Federal government,,519756,
900016,000000,2008,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01,Source,Industry,,12290,
900016,000000,2008,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01,Source,State and local government,,7259,
900016,000000,2008,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01,Source,Total,,573917,
900017,000000,2008,3,1,Stanford Linear Accelerator Center,Menlo Park,CA,94025,01,Source,Federal government,,234316,
900017,000000,2008,3,1,Stanford Linear Accelerator Center,Menlo Park,CA,94025,01,Source,Total,,234316,
900018,000000,2008,3,2,Los Alamos National Laboratory,Los Alamos,NM,87545,01,Source,Federal government,,2051550,
900018,000000,2008,3,2,Los Alamos National Laboratory,Los Alamos,NM,87545,01,Source,Industry,,21988,
900018,000000,2008,3,2,Los Alamos National Laboratory,Los Alamos,NM,87545,01,Source,Total,,2073538,
900020,000000,2008,3,1,Plasma Physics Laboratory,Princeton,NJ,08543,01,Source,All other sources,,48,
900020,000000,2008,3,1,Plasma Physics Laboratory,Princeton,NJ,08543,01,Source,Federal government,,78039,
900020,000000,2008,3,1,Plasma Physics Laboratory,Princeton,NJ,08543,01,Source,Industry,,67,
900020,000000,2008,3,1,Plasma Physics Laboratory,Princeton,NJ,08543,01,Source,Total,,78154,
900021,000000,2008,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,All other sources,,6317,
900021,000000,2008,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,Federal government,,1205784,
900021,000000,2008,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,Industry,,26869,
900021,000000,2008,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,"Institution funds, total",,12063,
900021,000000,2008,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,State and local government,,303,
900021,000000,2008,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,Total,,1251336,
900024,000000,2008,3,1,Jet Propulsion Laboratory,Pasadena,CA,91109,01,Source,Federal government,,1733597,
900024,000000,2008,3,1,Jet Propulsion Laboratory,Pasadena,CA,91109,01,Source,Total,,1733597,
900026,000000,2008,3,1,National Optical Astronomy Observatory,Tucson,AZ,85726,01,Source,Federal government,,50165,
900026,000000,2008,3,1,National Optical Astronomy Observatory,Tucson,AZ,85726,01,Source,"Institution funds, total",,5757,
900026,000000,2008,3,1,National Optical Astronomy Observatory,Tucson,AZ,85726,01,Source,Total,,55922,
900027,000000,2008,3,1,National Center for Atmospheric Research,Boulder,CO,80307,01,Source,All other sources,,7154,
900027,000000,2008,3,1,National Center for Atmospheric Research,Boulder,CO,80307,01,Source,Federal government,,139667,
900027,000000,2008,3,1,National Center for Atmospheric Research,Boulder,CO,80307,01,Source,Industry,,8431,
900027,000000,2008,3,1,National Center for Atmospheric Research,Boulder,CO,80307,01,Source,"Institution funds, total",,5689,
900027,000000,2008,3,1,National Center for Atmospheric Research,Boulder,CO,80307,01,Source,State and local government,,189,
900027,000000,2008,3,1,National Center for Atmospheric Research,Boulder,CO,80307,01,Source,Total,,161130,
900028,000000,2008,3,1,AUI National Radio Astronomy Observatory,Charlottesville,VA,22903,01,Source,All other sources,,145,
900028,000000,2008,3,1,AUI National Radio Astronomy Observatory,Charlottesville,VA,22903,01,Source,Federal government,,145953,
900028,000000,2008,3,1,AUI National Radio Astronomy Observatory,Charlottesville,VA,22903,01,Source,Total,,146098,
900038,000000,2008,3,3,Center for Naval Analyses,Alexandria,VA,22311-1850,01,Source,Federal government,,94552,
900038,000000,2008,3,3,Center for Naval Analyses,Alexandria,VA,22311-1850,01,Source,"Institution funds, total",,4244,
900038,000000,2008,3,3,Center for Naval Analyses,Alexandria,VA,22311-1850,01,Source,State and local government,,8171,
900038,000000,2008,3,3,Center for Naval Analyses,Alexandria,VA,22311-1850,01,Source,Total,,106967,
900041,000000,2008,3,3,Institute for Defense Analyses Studies & Analyses,Alexandria,VA,22311,01,Source,Federal government,,146500,
900041,000000,2008,3,3,Institute for Defense Analyses Studies & Analyses,Alexandria,VA,22311,01,Source,Total,,146500,
900042,000000,2008,3,3,Aerospace Corporation,El Segundo,CA,90245-4609,01,Source,All other sources,,3205,
900042,000000,2008,3,3,Aerospace Corporation,El Segundo,CA,90245-4609,01,Source,Federal government,,16349,
900042,000000,2008,3,3,Aerospace Corporation,El Segundo,CA,90245-4609,01,Source,Industry,,1800,
900042,000000,2008,3,3,Aerospace Corporation,El Segundo,CA,90245-4609,01,Source,"Institution funds, total",,17586,
900042,000000,2008,3,3,Aerospace Corporation,El Segundo,CA,90245-4609,01,Source,Total,,38940,
900045,000000,2008,3,3,C3I Federally Funded Research & Development Center,McLean,VA,22102,01,Source,Federal government,,936228,
900045,000000,2008,3,3,C3I Federally Funded Research & Development Center,McLean,VA,22102,01,Source,Total,,936228,
900064,000000,2008,3,1,Fermi National Accelerator Laboratory,Batavia,IL,60510,01,Source,Federal government,,336123,
900064,000000,2008,3,1,Fermi National Accelerator Laboratory,Batavia,IL,60510,01,Source,Industry,,448,
900064,000000,2008,3,1,Fermi National Accelerator Laboratory,Batavia,IL,60510,01,Source,"Institution funds, total",,3710,
900064,000000,2008,3,1,Fermi National Accelerator Laboratory,Batavia,IL,60510,01,Source,State and local government,,205,
900064,000000,2008,3,1,Fermi National Accelerator Laboratory,Batavia,IL,60510,01,Source,Total,,340486,
900065,000000,2008,3,3,Project Air Force,Santa Monica,CA,90407-2138,01,Source,Federal government,,41794,
900065,000000,2008,3,3,Project Air Force,Santa Monica,CA,90407-2138,01,Source,Total,,41794,
900066,000000,2008,3,3,National Renewable Energy Research Laboratory,Golden,CO,80401,01,Source,Federal government,,219296,
900066,000000,2008,3,3,National Renewable Energy Research Laboratory,Golden,CO,80401,01,Source,Industry,,10103,
900066,000000,2008,3,3,National Renewable Energy Research Laboratory,Golden,CO,80401,01,Source,Total,,229399,
900067,000000,2008,3,1,Software Engineering Institute,Pittsburgh,PA,15213,01,Source,Federal government,,66721,
900067,000000,2008,3,1,Software Engineering Institute,Pittsburgh,PA,15213,01,Source,Industry,,14242,
900067,000000,2008,3,1,Software Engineering Institute,Pittsburgh,PA,15213,01,Source,Total,,80963,
900069,000000,2008,3,3,National Defense Research Institute,Santa Monica,CA,90407-2138,01,Source,Federal government,,40051,
900069,000000,2008,3,3,National Defense Research Institute,Santa Monica,CA,90407-2138,01,Source,Total,,40051,
900070,000000,2008,3,3,Arroyo Center,Santa Monica,CA,90406-2138,01,Source,Federal government,,23852,
900070,000000,2008,3,3,Arroyo Center,Santa Monica,CA,90406-2138,01,Source,Total,,23852,
900071,000000,2008,3,1,Thomas Jefferson National Accelerator Facility,Newport News,VA,23606,01,Source,Federal government,,80751,
900071,000000,2008,3,1,Thomas Jefferson National Accelerator Facility,Newport News,VA,23606,01,Source,State and local government,,1503,
900071,000000,2008,3,1,Thomas Jefferson National Accelerator Facility,Newport News,VA,23606,01,Source,Total,,82254,
900080,000000,2008,3,3,Center for Nuclear Regulatory Analyses,San Antonio,TX,78228-0510,01,Source,Federal government,,17169,
900080,000000,2008,3,3,Center for Nuclear Regulatory Analyses,San Antonio,TX,78228-0510,01,Source,Industry,,286,
900080,000000,2008,3,3,Center for Nuclear Regulatory Analyses,San Antonio,TX,78228-0510,01,Source,"Institution funds, total",,453,
900080,000000,2008,3,3,Center for Nuclear Regulatory Analyses,San Antonio,TX,78228-0510,01,Source,State and local government,,52,
900080,000000,2008,3,3,Center for Nuclear Regulatory Analyses,San Antonio,TX,78228-0510,01,Source,Total,,17960,
901020,000000,2008,3,3,Center for Advanced Aviation System Development,McLean,VA,22102,01,Source,Federal government,,117978,
901020,000000,2008,3,3,Center for Advanced Aviation System Development,McLean,VA,22102,01,Source,Industry,,8193,
901020,000000,2008,3,3,Center for Advanced Aviation System Development,McLean,VA,22102,01,Source,Total,,126171,
901031,000000,2008,3,3,Institute for Defense Analyses Communication & Computing,Alexandria,VA,22311,01,Source,Federal government,,59500,
901031,000000,2008,3,3,Institute for Defense Analyses Communication & Computing,Alexandria,VA,22311,01,Source,Total,,59500,
910002,000000,2008,3,2,NCI Frederick Cancer Research & Development Center,Frederick,MD,21702-1201,01,Source,Federal government,,509700,
910002,000000,2008,3,2,NCI Frederick Cancer Research & Development Center,Frederick,MD,21702-1201,01,Source,Total,,509700,
910005,000000,2008,3,2,Idaho National Laboratory,Idaho Falls,ID,83415,01,Source,Federal government,,224273,
910005,000000,2008,3,2,Idaho National Laboratory,Idaho Falls,ID,83415,01,Source,Industry,,10976,
910005,000000,2008,3,2,Idaho National Laboratory,Idaho Falls,ID,83415,01,Source,State and local government,,788,
910005,000000,2008,3,2,Idaho National Laboratory,Idaho Falls,ID,83415,01,Source,Total,,236037,
910009,000000,2008,3,2,Sandia National Laboratory,Albuquerque,NM,87185-0969,01,Source,Federal government,,2023303,
910009,000000,2008,3,2,Sandia National Laboratory,Albuquerque,NM,87185-0969,01,Source,Industry,,52621,
910009,000000,2008,3,2,Sandia National Laboratory,Albuquerque,NM,87185-0969,01,Source,State and local government,,862,
910009,000000,2008,3,2,Sandia National Laboratory,Albuquerque,NM,87185-0969,01,Source,Total,,2076786,
910010,000000,2008,3,2,Savannah River National Laboratory,Aiken,SC,29808,01,Source,Federal government,,118400,
910010,000000,2008,3,2,Savannah River National Laboratory,Aiken,SC,29808,01,Source,Total,,118400,
